연번,구분,상호명,도로명주소,지번주소,전화번호
77,일반음식점,새삼거리식당,경상북도 영천시 신녕면 장수로 1688-1,경상북도 영천시 신녕면 화성리 856-3 ,054-335-4046
78,일반음식점,새임고식육식당,,경상북도 영천시 임고면 양항리 463 ,
79,일반음식점,일미식육식당,경상북도 영천시 임고면 포은로 448,경상북도 영천시 임고면 양항리 465-7 ,054-332-3750
80,일반음식점,용궁식당,경상북도 영천시 고경면 용담로 1373-6,경상북도 영천시 고경면 덕정리 365 ,054-336-0483
81,일반음식점,푸짐한집,경상북도 영천시 완산중앙2길 12 (완산동),경상북도 영천시 완산동 1080-15 ,054-334-3644
82,일반음식점,꼬꼬랜드,경상북도 영천시 완산중앙3길 4-1 (완산동),경상북도 영천시 완산동 1086-11 ,054-333-0058
83,일반음식점,느티나무식당,경상북도 영천시 신녕면 본관시장길 3 (신녕공설시장상설점포 B동 7호 8호),경상북도 영천시 신녕면 화성리 866-1 신녕공설시장상설점포 B동 7호 8호 ,054-331-8855
84,일반음식점,매일분식,,경상북도 영천시 화북면 자천리 1788-2 ,054-333-2949
85,일반음식점,대곡가든,,경상북도 영천시 고경면 해선리 261 ,054-333-2218
86,일반음식점,수덕웨딩뷔페식당,경상북도 영천시 완산로 68 (완산동),경상북도 영천시 완산동 1000-19 ,054-334-0803
87,일반음식점,윤아식당,경상북도 영천시 역전로 22 (완산동),경상북도 영천시 완산동 1082-4 ,
88,일반음식점,마츠,경상북도 영천시 삼산길 10-6 (문외동),경상북도 영천시 문외동 38-5 ,054-335-7291
89,일반음식점,북경만두,경상북도 영천시 완산중앙2길 13 (완산동),경상북도 영천시 완산동 1077-12 ,054-335-7019
90,일반음식점,새동남식당,경상북도 영천시 운동장로 36 (교촌동),경상북도 영천시 교촌동 258 ,054-332-3695
91,일반음식점,바다촌,"경상북도 영천시 시장로 39 (완산동,, 1058-13)","경상북도 영천시 완산동 1073-4 , 1058-13 ",054-333-5566
92,일반음식점,가야식당,경상북도 영천시 금호읍 금호로 79,경상북도 영천시 금호읍 덕성리 113-4 ,054-334-6824
93,일반음식점,본촌초원식당,경상북도 영천시 하이브리드로 650-8 (본촌동),경상북도 영천시 본촌동 398-2 ,054-332-0987
94,일반음식점,맥시칸양념통닭,"경상북도 영천시 미륵4길 7, 107,108호 (망정동, 황금상가 )","경상북도 영천시 망정동 131 황금상가 107,108호",054-332-6158
95,일반음식점,새부산식당,경상북도 영천시 한방로 42 (도동),경상북도 영천시 도동 129-8 ,054-332-2070
96,일반음식점,산수기사식당,경상북도 영천시 한방로 157 (작산동),경상북도 영천시 작산동 302-1 ,054-333-7100
97,일반음식점,조양기사식당,경상북도 영천시 금호읍 대경로 1260,경상북도 영천시 금호읍 교대리 116-5 ,054-333-6063
98,일반음식점,새신녕식육식당,경상북도 영천시 신녕면 장수로 1704,"경상북도 영천시 신녕면 897-5 ,-7 ",054-333-0347
99,일반음식점,일견회식당,경상북도 영천시 자양면 포은로 2141,경상북도 영천시 자양면 충효리 954-7 ,054-332-4359
100,일반음식점,맛나정가든,경상북도 영천시 임고면 삼매용천길 4,경상북도 영천시 임고면 삼매리 73 ,054-333-5844
101,일반음식점,미진짜장,경상북도 영천시 북안면 운북로 2029,경상북도 영천시 북안면 임포리 325-4 ,054-331-3035
102,일반음식점,정원식당,,"경상북도 영천시 완산동 988-29 ,-30,-42, 994-4,-81 ",
103,일반음식점,편의방,경상북도 영천시 영천고1길 6 (야사동),경상북도 영천시 야사동 252-9 ,054-338-0025
104,일반음식점,동영식육식당,경상북도 영천시 충효로 146 (야사동),경상북도 영천시 야사동 147 ,
105,일반음식점,조선해장국,경상북도 영천시 호국로 46-9 (야사동),경상북도 영천시 야사동 252-14 ,054-334-8811
106,일반음식점,미소행복 식당,경상북도 영천시 구읍3길 58 (완산동),경상북도 영천시 완산동 1081-4 ,054-333-2752
107,일반음식점,밀양식당,경상북도 영천시 완산6길 19-6 (완산동),경상북도 영천시 완산동 1000-79 ,054-334-8613
108,일반음식점,한우분식,,경상북도 영천시 야사동 283-10 ,054-334-7254
109,일반음식점,오늘통닭 1977,경상북도 영천시 완산중앙3길 24-1 (완산동),경상북도 영천시 완산동 905-1 ,054-334-8990
110,일반음식점,보리수식당,경상북도 영천시 완산중앙9길 25 (완산동),경상북도 영천시 완산동 984-6 ,054-332-8185
111,일반음식점,영천왕족발,경상북도 영천시 호국로 85 (야사동),경상북도 영천시 야사동 136-5 ,054-337-8654
112,일반음식점,창하레스카페,"경상북도 영천시 완산중앙3길 24-1 (완산동,,-30)","경상북도 영천시 완산동 905-1 ,-30 ",054-333-1188
113,일반음식점,오수식당,경상북도 영천시 오수4길 3-3 (오수동),경상북도 영천시 오수동 148-3 ,054-333-3131
114,일반음식점,멕시칸양념통닭금호점,,경상북도 영천시 금호읍 냉천리 902-18 ,054-332-3650
115,일반음식점,화산반점,경상북도 영천시 화산면 장수로 919,경상북도 영천시 화산면 유성리 502-6 ,054-334-3750
116,일반음식점,산나루식당,경상북도 영천시 자양면 포은로 1937,경상북도 영천시 자양면 용산리 656-4 ,054-333-1195
117,일반음식점,포석정,경상북도 영천시 임고면 포은로 1067-22,경상북도 영천시 임고면 삼매리 230-2 ,054-338-3993
118,일반음식점,란식당,경상북도 영천시 대창면 금창로 691,경상북도 영천시 대창면 대창리 1076-59 ,054-333-3450
119,일반음식점,대길식당,경상북도 영천시 언하2길 15 (언하동),경상북도 영천시 언하동 457-4 ,054-334-8235
120,일반음식점,바로커양념치킨체인점,경상북도 영천시 시장로 16 (금노동),경상북도 영천시 금노동 523-5 ,054-332-8646
121,일반음식점,천리향,경상북도 영천시 최무선로 52 (오수동),경상북도 영천시 오수동 320-7 ,054-338-8886
122,일반음식점,덕성분식,"경상북도 영천시 강변로 50-7 (금노동,, 587-2)","경상북도 영천시 금노동 586-2 , 587-2 ",054-337-8955
123,일반음식점,누들맨(남자국수),경상북도 영천시 상록2길 41 (야사동),경상북도 영천시 야사동 335-46 ,054-331-7723
124,일반음식점,소문각,경상북도 영천시 호국로 52 (야사동),"경상북도 영천시 야사동 178-20 178-27,178-28 ",054-333-5510
125,일반음식점,산정식당,경상북도 영천시 완산중앙1길 10 (완산동),경상북도 영천시 완산동 1075-12 ,054-331-7541
126,일반음식점,정금식당,경상북도 영천시 장수로 23 (화룡동),경상북도 영천시 화룡동 219-6 ,054-334-1686
127,일반음식점,금호식당,경상북도 영천시 역전로 11 (완산동),경상북도 영천시 완산동 1075-11 ,054-332-5436
128,일반음식점,할매추어탕,경상북도 영천시 금호읍 금호로 45-2,경상북도 영천시 금호읍 덕성리 126 ,054-332-8068
129,일반음식점,중앙반점,경상북도 영천시 금호읍 금호로 154,경상북도 영천시 금호읍 냉천리 698-21 ,054-337-4207
130,일반음식점,성림식당,경상북도 영천시 청통면 청통로 894-34 (32),경상북도 영천시 청통면 치일리 405-1 894-32 ,
131,일반음식점,평창동 돼지국밥,경상북도 영천시 화남면 천문로 1628,경상북도 영천시 화남면 삼창리 184-3 ,054-337-5950
132,일반음식점,영보 손짜장,경상북도 영천시 임고면 포은로 502,경상북도 영천시 임고면 양항리 757-118 119 ,054-331-4418
133,일반음식점,강변참숯불,경상북도 영천시 임고면 포은로 841-2,경상북도 영천시 임고면 덕연리 193-1 ,
134,일반음식점,홍진,경상북도 영천시 고경면 청정길 17,경상북도 영천시 고경면 청정리 350-1 ,054-331-7748
135,일반음식점,희성식당,경상북도 영천시 충효로 72 (문외동),경상북도 영천시 문외동 12-6 ,054-331-1604
136,일반음식점,황해식당,경상북도 영천시 동문1길 33-2 (문내동),경상북도 영천시 문내동 91-3 ,054-337-6777
137,일반음식점,영남숯불막창,경상북도 영천시 담안2길 5-4 (금노동),경상북도 영천시 금노동 553-2 ,054-333-2240
138,일반음식점,대우구이,경상북도 영천시 시장로 16 (금노동),경상북도 영천시 금노동 523-5 ,
139,일반음식점,쇼킹레스호프,"경상북도 영천시 천문로 287 (금노동,,-7)","경상북도 영천시 금노동 515-1 ,-7 ",054-331-2172
140,일반음식점,꿀꿀이식당,경상북도 영천시 최무선로 204 (성내동),경상북도 영천시 성내동 288 ,054-331-4534
141,일반음식점,신라삼계탕,경상북도 영천시 시청남길 24 (문외동),경상북도 영천시 문외동 40-15 ,054-334-0480
142,일반음식점,뽀빠이밥집,,"경상북도 영천시 창구동 100 ,100-2, 104-1, 207-15 ",054-332-1031
143,일반음식점,참맛식당,경상북도 영천시 구읍3길 58 (완산동),경상북도 영천시 완산동 1081-4 ,054-338-1237
144,일반음식점,제갈양념통닭,경상북도 영천시 상록2길 53 (야사동),경상북도 영천시 야사동 335-7 ,054-336-5018
145,일반음식점,삼송꾼만두야사점,경상북도 영천시 충효로 123-1 (야사동),경상북도 영천시 야사동 333-28 ,054-331-9050
146,일반음식점,왕만두분식,경상북도 영천시 호국로 38 (야사동),경상북도 영천시 야사동 295-8 ,054-335-6333
147,일반음식점,제일식육식당,"경상북도 영천시 완산로 20, 101동 101호 (완산동, 윤창타운 )",경상북도 영천시 완산동 910-6 ,054-334-0487
148,일반음식점,정국수,경상북도 영천시 옛군청1길 19 (창구동),경상북도 영천시 창구동 37-6 ,054-334-3358
149,일반음식점,둥지식당,경상북도 영천시 백신애길 41 (창구동),경상북도 영천시 창구동 77 ,054-334-6724
150,일반음식점,명동구이,경상북도 영천시 충효로 81 (문외동),경상북도 영천시 문외동 9-54 ,054-331-1880
151,일반음식점,창구굴국밥전문점,경상북도 영천시 최무선로 294 (창구동),경상북도 영천시 창구동 26-7 ,054-332-1961
152,일반음식점,명동칼국수,경상북도 영천시 강남길 46 (완산동),경상북도 영천시 완산동 1000-34 ,054-333-9848
153,일반음식점,서울불고기,경상북도 영천시 시장5길 7 (완산동),경상북도 영천시 완산동 1000-41 ,054-332-2563
154,일반음식점,해물소주타운,경상북도 영천시 금호읍 금호로 154-1,경상북도 영천시 금호읍 냉천리 698-20 ,
155,일반음식점,땅땅치킨금호점,경상북도 영천시 금호읍 금호로 93,경상북도 영천시 금호읍 덕성리 107-4 ,054-333-8864
156,일반음식점,깟방못대나무집,경상북도 영천시 청통면 대동로 362,경상북도 영천시 청통면 치일리 324 ,054-331-1633
157,일반음식점,갑령기사가든,경상북도 영천시 신녕면 장수로 2383-5,"경상북도 영천시 신녕면 화서리 69-1 ,-2 ",054-331-2677
158,일반음식점,맛나식당휴게소,경상북도 영천시 신녕면 장수로 2048,경상북도 영천시 신녕면 화남리 918-2 ,054-337-8806
159,일반음식점,대내실식당,"경상북도 영천시 화남면 신선로 163 (,307-3,308)","경상북도 영천시 화남면 신호리 307-1 ,307-3,308 ",054-333-2537
160,일반음식점,봉산식당,"경상북도 영천시 화남면 천문로 1631 (183-1, 184-1)","경상북도 영천시 화남면 삼창리 183-1 ,184-1 ",054-334-4440
161,일반음식점,영천댐관광농원,경상북도 영천시 임고면 신방로 79,경상북도 영천시 임고면 삼매리 1-5 ,054-335-4432
162,일반음식점,논골식당,경상북도 영천시 임고면 포은로 746,경상북도 영천시 임고면 평천리 619-4 ,054-333-0530
163,일반음식점,부성식당,경상북도 영천시 고경면 호국로 675,경상북도 영천시 고경면 도암리 505-1 ,054-331-6092
164,일반음식점,대성식당,경상북도 영천시 고경면 호국로 1080,경상북도 영천시 고경면 해선리 320-17 ,054-331-5659
165,일반음식점,하루,경상북도 영천시 상록2길 54 (야사동),경상북도 영천시 야사동 334 ,054-332-4772
166,일반음식점,금호 명지식당,경상북도 영천시 완산중앙3길 10 (완산동),경상북도 영천시 완산동 903-36 ,054-332-8186
167,일반음식점,해동각,경상북도 영천시 시장2길 34 (완산동),경상북도 영천시 완산동 1065-57 ,054-334-1111
168,일반음식점,해물촌,경상북도 영천시 옛군청1길 20 (창구동),경상북도 영천시 창구동 35-2 ,054-331-2860
169,일반음식점,홍천뚝배기영천점,경상북도 영천시 옛군청1길 20 (창구동),경상북도 영천시 창구동 35-2 ,054-333-9500
170,일반음식점,축협휴게실,경상북도 영천시 호국로 17 (문외동),경상북도 영천시 문외동 40-29 ,054-333-1413
171,일반음식점,지성이해물찜,경상북도 영천시 청산1길 12 (문외동),경상북도 영천시 문외동 9-12 ,054-335-4268
172,일반음식점,맛나구이,,경상북도 영천시 창구동 155-8 ,054-331-4657
173,일반음식점,미각루,경상북도 영천시 청산1길 6 (문외동),경상북도 영천시 문외동 9-57 ,054-338-1259
174,일반음식점,맘스터치치킨,경상북도 영천시 모란2길 22-6 (야사동),경상북도 영천시 야사동 331-43 ,054-332-6022
175,일반음식점,아성반점,경상북도 영천시 호국로 26 (야사동),경상북도 영천시 야사동 290-5 ,054-335-9994
176,일반음식점,라라코스트,경상북도 영천시 시청로 12 (문외동),경상북도 영천시 문외동 40 ,054-337-8023
177,일반음식점,노랑통닭 영천점,경상북도 영천시 충효로 72-2 (문외동),경상북도 영천시 문외동 12-4 ,054-337-2990
178,일반음식점,장수보양탕,경상북도 영천시 무궁화길 38 (문외동),경상북도 영천시 문외동 5-30 ,054-335-3188
179,일반음식점,경희소주방,경상북도 영천시 완산중앙2길 4 (완산동),경상북도 영천시 완산동 1082-28 ,054-335-5127
180,일반음식점,김해구이,경상북도 영천시 완산중앙9길 14 (완산동),경상북도 영천시 완산동 907-7 ,054-336-6151
181,일반음식점,영천할매추어탕,경상북도 영천시 금완로 86 (완산동),경상북도 영천시 완산동 900-12 ,054-337-2757
182,일반음식점,모드니카페,경상북도 영천시 천문로 316 (창구동),경상북도 영천시 창구동 15 ,054-331-3248
183,일반음식점,때때로막창,경상북도 영천시 충효로 125 (야사동),경상북도 영천시 야사동 333-26 ,054-332-5252
184,일반음식점,원조식당,경상북도 영천시 구읍4길 19 (완산동),경상북도 영천시 완산동 1090-4 ,054-337-7735
185,일반음식점,하루방양분식,경상북도 영천시 천문로 333 (창구동),경상북도 영천시 창구동 90-17 ,054-334-9203
186,일반음식점,임가네해물촌,경상북도 영천시 시청남길 20 (문외동),경상북도 영천시 문외동 40-14 ,054-332-0666
187,일반음식점,택산 돈식당,경상북도 영천시 무궁화길 30 (문외동),경상북도 영천시 문외동 5-27 ,054-334-4156
188,일반음식점,네네치킨야사점,경상북도 영천시 망정로 60 (망정동),경상북도 영천시 망정동 339 ,054-333-9694
189,일반음식점,춘천식당,"경상북도 영천시 문화새길 25 (야사동,(문화상가 C/1))",경상북도 영천시 야사동 187-2 (문화상가 C/1) ,054-331-4666
190,일반음식점,도황새마을국밥,경상북도 영천시 충효로 79 (문외동),경상북도 영천시 문외동 9-56 ,054-333-1197
191,일반음식점,신일식당,경상북도 영천시 금호읍 금호로 166,경상북도 영천시 금호읍 냉천리 707-7 ,054-332-7494
192,일반음식점,우리식육식당,경상북도 영천시 금호읍 금호로 166,경상북도 영천시 금호읍 냉천리 707-7 ,054-334-9228
193,일반음식점,두꺼비식당,경상북도 영천시 청통면 청통로 894-42,경상북도 영천시 청통면 치일리 405-2 ,054-333-7432
194,일반음식점,부산식당,"경상북도 영천시 신녕면 장수로 1710 (,897-4,918-1,-8)","경상북도 영천시 신녕면 화성리 896 ,897-4,918-1,-8 ",054-333-8300
195,일반음식점,덕암식육식당,경상북도 영천시 화산면 장수로 1183,경상북도 영천시 화산면 덕암리 524-7 ,054-336-1622
196,일반음식점,은해사할매식당,경상북도 영천시 화남면 천문로 1601-9,경상북도 영천시 화남면 삼창리 236 ,054-332-8873
197,일반음식점,장모식육식당,경상북도 영천시 화남면 천문로 1606-1,"경상북도 영천시 화남면 삼창리 223 ,1187-34, 1215-11 ",054-334-4877
198,일반음식점,은하반점,"경상북도 영천시 화남면 천문로 1602-1 (,1187-37)","경상북도 영천시 화남면 삼창리 1215-14 ,1187-37 ",054-332-5639
199,일반음식점,가보자식당,경상북도 영천시 화남면 천문로 1624-1,경상북도 영천시 화남면 삼창리 185-3 ,054-333-4008
200,일반음식점,뚝배기식당,경상북도 영천시 임고면 포은로 450,경상북도 영천시 임고면 양항리 465-5 ,
201,일반음식점,선미횟집,,"경상북도 영천시 임고면 삼매리 74-1 ,-2 ",054-334-8133
202,일반음식점,빅보이 치킨,경상북도 영천시 고경면 호국로 377,경상북도 영천시 고경면 단포리 276-7 ,054-331-7916
203,일반음식점,싱싱국밥마을,"경상북도 영천시 고경면 호국로 454 (,-3)","경상북도 영천시 고경면 창하리 712-1 ,-3 ",054-333-3381
204,일반음식점,왕궁손짜장,경상북도 영천시 북안면 대경로 2166-34,경상북도 영천시 북안면 유하리 476-7 ,054-334-5568
205,일반음식점,처갓집양념통닭,경상북도 영천시 호국로 14-42 (야사동),경상북도 영천시 야사동 283-38 ,054-333-3733
206,일반음식점,곤지암 할매 소머리국밥,경상북도 영천시 장수로 131 (화룡동),경상북도 영천시 화룡동 764-1 ,054-332-7593
207,일반음식점,삼송꾼만두,경상북도 영천시 중앙동1길 12 (문외동),경상북도 영천시 문외동 198-4 ,054-332-3786
208,일반음식점,고향식당(DIEM HEN QUE HUONG),경상북도 영천시 충효로 122-1 (야사동),경상북도 영천시 야사동 334-2 ,054-333-3873
209,일반음식점,중국성,경상북도 영천시 상록2길 39 (야사동),경상북도 영천시 야사동 335-50 ,054-334-0111
210,일반음식점,파크레스토랑,경상북도 영천시 구읍1길 10 (완산동),경상북도 영천시 완산동 1100-1 ,054-335-1513
211,일반음식점,길,경상북도 영천시 장수로 15-1 (화룡동),경상북도 영천시 화룡동 219-16 ,054-332-8186
212,일반음식점,골목식당,경상북도 영천시 문내3길 1-6 (문내동),경상북도 영천시 문내동 206-9 ,054-336-6969
213,일반음식점,선창회가든,"경상북도 영천시 충효로 72-3, 외 1필지 (충효로 72) (문외동)",경상북도 영천시 문외동 12-9 ,054-331-3390
214,일반음식점,청와대족발/보쌈,경상북도 영천시 상록1길 44 (야사동),경상북도 영천시 야사동 335-19 ,
215,일반음식점,일미한우숯불가든,"경상북도 영천시 호국로 229 (조교동,,-12)","경상북도 영천시 조교동 403-6 ,-12 ",054-338-8907
216,일반음식점,이안에막걸리있다,경상북도 영천시 충효로 123-1 (야사동),경상북도 영천시 야사동 333-28 ,054-333-5735
217,일반음식점,주막민속식당,,경상북도 영천시 완산동 1075-16 ,054-333-7843
218,일반음식점,남문식당,경상북도 영천시 조양공원길 26-5 (창구동),경상북도 영천시 창구동 18-3 ,054-337-0906
219,일반음식점,신흥춘해물짬뽕,경상북도 영천시 한방로 237 (작산동),경상북도 영천시 작산동 199-3 ,054-331-4121
220,일반음식점,황토오리마을,경상북도 영천시 삼산길 4 (문외동),경상북도 영천시 문외동 38-11 ,054-335-8548
